Call_ID,Timestamp,City,State,Latitude,Longitude,Emergency_Type,Priority,Response_Time(min),Resolved
1120000,2024-02-04 05:15:28,Patna,Bihar,25.770706,85.046925,Road Accident,High,5,Yes
1120001,2024-08-28 04:34:02,Srinagar,Jammu & Kashmir,34.005247,75.044414,Chain Snatching,High,47,Yes
1120002,2024-06-17 04:42:10,Prayagraj,Uttar Pradesh,25.707527,81.682945,Medical Emergency,High,5,No
1120003,2025-07-29 23:54:45,Srinagar,Jammu & Kashmir,34.312425,74.710961,Chain Snatching,Medium,24,Yes
1120004,2025-12-10 23:19:55,Guwahati,Assam,26.200411,91.466604,Theft,High,32,Yes
1120005,2023-12-18 04:57:25,Hyderabad,Telangana,17.320421,78.353882,Road Accident,High,43,Yes
1120006,2023-06-26 09:39:43,Chennai,Tamil Nadu,13.347303,80.26716,Chain Snatching,Low,32,Yes
1120007,2023-01-18 20:04:04,Prayagraj,Uttar Pradesh,25.40395,81.957021,Theft,Low,43,Yes
1120008,2025-09-25 19:19:30,Srinagar,Jammu & Kashmir,33.939408,74.861421,Robbery,Medium,49,No
1120009,2023-02-26 07:09:58,Bangalore,Karnataka,12.893302,77.837615,Theft,Medium,28,Yes
1120010,2024-05-20 17:03:25,Srinagar,Jammu & Kashmir,33.914787,75.08462,Fire,Low,53,Yes
1120011,2024-05-04 15:50:06,Guwahati,Assam,26.217659,91.64166,Chain Snatching,Medium,57,Yes
1120012,2025-08-29 04:52:59,Chennai,Tamil Nadu,12.89167,80.368354,Eve Teasing,Medium,29,Yes
1120013,2023-06-12 22:31:24,Bangalore,Karnataka,13.04531,77.529116,Medical Emergency,Low,17,No
1120014,2024-05-30 03:10:59,Mumbai,Maharashtra,19.238705,72.913661,Theft,High,31,No
1120015,2024-10-29 08:20:24,Patna,Bihar,25.424096,85.239582,Medical Emergency,Low,4,No
1120016,2024-08-23 19:17:01,Kolkata,West Bengal,22.336014,88.214684,Robbery,Medium,49,Yes
1120017,2025-04-09 03:30:42,Chennai,Tamil Nadu,13.235896,80.084396,Road Accident,High,40,Yes
1120018,2024-03-26 00:36:30,Jaipur,Rajasthan,26.871086,75.725474,Fire,Low,58,Yes
1120019,2025-11-11 11:01:03,Chennai,Tamil Nadu,13.174198,80.347244,Robbery,High,40,Yes
1120020,2023-11-09 12:53:24,Kolkata,West Bengal,22.766495,88.564966,Kidnapping,High,2,Yes
1120021,2025-09-25 21:57:25,Jaipur,Rajasthan,26.717467,75.525653,Domestic Abuse,Low,46,No
1120022,2023-02-11 05:41:07,Prayagraj,Uttar Pradesh,25.165601,81.620198,Medical Emergency,Medium,40,Yes
1120023,2023-10-13 07:42:47,Srinagar,Jammu & Kashmir,33.820577,74.507225,Chain Snatching,Low,21,Yes
1120024,2024-02-02 14:39:02,Srinagar,Jammu & Kashmir,34.304778,75.083606,Medical Emergency,Low,46,Yes
1120025,2023-04-25 02:28:39,Hyderabad,Telangana,17.359066,78.300868,Fire,Low,46,No
1120026,2024-09-08 02:11:38,Kolkata,West Bengal,22.553418,88.343323,Fire,High,30,Yes
1120027,2024-01-21 00:13:36,Mumbai,Maharashtra,19.277725,72.803591,Domestic Abuse,Low,17,Yes
1120028,2023-04-08 05:13:26,Prayagraj,Uttar Pradesh,25.721437,82.009876,Fire,High,1,No
1120029,2023-11-14 08:12:07,Bangalore,Karnataka,12.717757,77.296706,Eve Teasing,Low,33,No
1120030,2025-12-21 01:08:46,Chennai,Tamil Nadu,13.329491,80.235463,Kidnapping,Low,14,No
1120031,2025-07-07 18:21:48,Kolkata,West Bengal,22.584203,88.510694,Road Accident,Medium,51,Yes
1120032,2024-09-15 06:42:35,Delhi,Delhi,28.766515,77.042168,Fire,High,41,Yes
1120033,2024-06-12 21:54:27,Guwahati,Assam,26.382705,91.713392,Road Accident,Medium,11,No
1120034,2024-02-26 18:42:46,Patna,Bihar,25.551861,84.881047,Domestic Abuse,High,21,No
1120035,2024-10-31 22:58:05,Kolkata,West Bengal,22.824096,88.202548,Medical Emergency,Medium,5,No
1120036,2023-08-30 19:24:23,Lucknow,Uttar Pradesh,26.738684,80.750291,Kidnapping,Medium,39,Yes
1120037,2023-04-08 11:16:32,Bangalore,Karnataka,12.998743,77.38276,Domestic Abuse,Low,55,Yes
1120038,2025-11-14 16:26:25,Jaipur,Rajasthan,26.65028,76.04569,Eve Teasing,Low,44,Yes
1120039,2024-07-30 13:27:08,Delhi,Delhi,28.744434,77.009789,Eve Teasing,High,47,No
1120040,2024-08-28 03:19:42,Lucknow,Uttar Pradesh,26.780028,81.179885,Theft,High,9,Yes
1120041,2024-08-15 22:58:22,Jaipur,Rajasthan,26.85976,76.002101,Fire,Low,29,No
1120042,2023-03-17 07:58:30,Lucknow,Uttar Pradesh,26.684172,81.117675,Fire,Low,28,Yes
1120043,2023-07-30 15:29:37,Hyderabad,Telangana,17.31983,78.45381,Road Accident,Medium,1,No
