FIR_ID,Timestamp,City,State,Address,Latitude,Longitude,Crime_Type,IPC_Section,Police_Station,Status
FIR1000,2024-02-07 13:26:54,Patna,Bihar,"852 Main Road, Patna, Bihar",25.770706,85.046925,Assault,IPC 323,Dwarka,Charge Sheet Filed
FIR1001,2025-06-05 17:22:43,Srinagar,Jammu & Kashmir,"586 Main Road, Srinagar, Jammu & Kashmir",34.005247,75.044414,Burglary,IPC 392,Lajpat Nagar,Closed
FIR1002,2025-07-13 15:24:03,Prayagraj,Uttar Pradesh,"702 Sector, Prayagraj, Uttar Pradesh",25.707527,81.682945,Murder,IPC 376,Noida Sector 20,Charge Sheet Filed
FIR1003,2023-06-23 14:28:52,Srinagar,Jammu & Kashmir,"336 Gali, Srinagar, Jammu & Kashmir",34.312425,74.710961,Kidnapping,IPC 363,Noida Sector 20,Closed
FIR1004,2024-11-19 17:10:56,Guwahati,Assam,"559 Gali, Guwahati, Assam",26.200411,91.466604,Dowry,IPC 302,Karol Bagh,Under Investigation
FIR1005,2025-12-02 10:40:35,Hyderabad,Telangana,"882 Main Road, Hyderabad, Telangana",17.320421,78.353882,Assault,IPC 498A,Gurgaon East,Charge Sheet Filed
FIR1006,2024-02-05 07:58:37,Chennai,Tamil Nadu,"957 Gali, Chennai, Tamil Nadu",13.347303,80.26716,Harassment,IPC 498A,Chanakyapuri,Closed
FIR1007,2025-04-24 15:05:59,Prayagraj,Uttar Pradesh,"938 Main Road, Prayagraj, Uttar Pradesh",25.40395,81.957021,Dowry,IPC 363,Karol Bagh,Charge Sheet Filed
FIR1008,2023-02-25 02:29:49,Srinagar,Jammu & Kashmir,"270 Sector, Srinagar, Jammu & Kashmir",33.939408,74.861421,Murder,IPC 323,RK Puram,Closed
FIR1009,2023-04-06 03:22:21,Bangalore,Karnataka,"949 Gali, Bangalore, Karnataka",12.893302,77.837615,Fraud,IPC 363,Dwarka,Under Investigation
FIR1010,2024-08-25 07:30:22,Srinagar,Jammu & Kashmir,"619 Gali, Srinagar, Jammu & Kashmir",33.914787,75.08462,Harassment,IPC 302,Karol Bagh,Closed
FIR1011,2023-01-23 17:02:26,Guwahati,Assam,"790 Gali, Guwahati, Assam",26.217659,91.64166,Murder,IPC 302,Lajpat Nagar,Under Investigation
FIR1012,2024-03-21 05:13:14,Chennai,Tamil Nadu,"590 Gali, Chennai, Tamil Nadu",12.89167,80.368354,Cyber Crime,IPC 302,Noida Sector 20,Charge Sheet Filed
FIR1013,2025-06-19 03:45:35,Bangalore,Karnataka,"707 Main Road, Bangalore, Karnataka",13.04531,77.529116,Theft,IPC 498A,Noida Sector 20,Charge Sheet Filed
FIR1014,2024-07-04 20:42:59,Mumbai,Maharashtra,"981 Gali, Mumbai, Maharashtra",19.238705,72.913661,Dowry,IPC 302,Chanakyapuri,Charge Sheet Filed
FIR1015,2025-03-24 04:38:47,Patna,Bihar,"773 Gali, Patna, Bihar",25.424096,85.239582,Dowry,IPC 498A,Lajpat Nagar,Closed
